f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,answer
0.074681,0.905239,0.609254,2.714289,1.242104,-1.734369,1.902444,1.653692,6.742859,4.303464,6.560371
1.119106,1.741902,0.451538,1.514786,2.189053,1.346222,2.473719,0.683983,6.631892,4.827331,9.551751
1.974131,1.395519,1.549331,0.195115,1.525091,3.174534,6.622125,0.302298,0.595137,5.114096,8.045777
1.749720,-0.142976,0.762597,2.417098,1.825547,-0.810354,4.037511,1.843272,8.825052,4.786439,7.356552
1.742283,0.538582,-0.076285,-0.613578,1.103013,2.894443,1.513427,0.046807,-1.353568,1.591002,5.865815
0.365429,0.937904,1.117095,-0.087967,1.209808,1.391300,3.716714,-0.098268,-0.212847,2.332460,3.320501
1.527063,1.259604,0.197841,0.375061,1.247717,2.411606,2.120586,0.074202,0.935940,3.359569,7.665610
0.159464,1.567599,1.695474,-0.091629,1.729776,1.818693,5.245886,-0.155355,-0.316996,3.330908,5.809850
1.382587,0.645897,1.188655,0.938547,1.125018,1.089938,4.948552,1.115608,2.111764,4.155686,6.667163
-0.228981,1.626751,1.865673,0.943723,0.422079,0.454048,5.368039,1.760678,0.796652,4.207166,4.160137
0.417840,1.503958,2.065210,0.723416,0.752157,1.198382,6.613469,1.494006,1.088246,4.710424,5.872093
0.814724,1.126938,2.301725,0.798849,0.845625,1.142813,7.719899,1.838730,1.351052,5.042236,7.374610
0.211251,0.627739,0.491857,-0.422782,-0.471228,1.261772,1.686823,-0.207948,0.398454,0.908066,0.137002
2.489439,1.071114,0.969146,0.866521,1.902799,2.694033,5.396879,0.839786,3.297629,5.396221,8.450770
0.371055,1.076066,-0.052320,-0.744822,1.730712,2.191944,0.214097,0.038969,-2.578147,0.649979,6.132469
-0.494722,1.465631,1.285925,0.264921,1.307178,0.705988,3.363054,0.340669,0.692599,2.521756,5.354247
2.897679,1.278267,0.047318,-0.634108,0.684529,4.810054,3.039633,-0.030005,-0.868131,3.589155,5.871873
1.001621,0.105645,2.787145,2.109298,1.143450,-1.002032,9.363056,5.878919,4.823751,6.003708,10.275171
1.007505,0.946141,0.656265,-0.625193,0.642657,2.578838,2.976301,-0.410293,-0.803569,1.984718,3.410685
3.048341,-0.092119,1.039353,0.536080,1.599907,2.420142,6.166400,0.557176,1.715356,4.531655,7.034456
1.544003,1.272589,0.145468,0.534485,0.238657,2.282107,1.980407,0.077750,0.255117,3.496545,4.479266
-0.544581,0.961817,0.023874,1.985518,0.113071,-1.568283,-0.472960,0.047402,0.449009,2.426627,2.166899
1.825403,0.732290,1.458221,0.090272,2.409185,2.467420,6.200066,0.131637,0.434966,4.106186,8.517991
-0.160999,0.855184,-0.189105,-0.704016,1.505760,1.398200,-0.728315,0.133133,-2.120157,-0.198936,4.317650
0.366543,1.173498,0.328673,2.492393,1.310622,-0.952351,1.352561,0.819181,6.533169,4.361108,6.433090
0.087735,-0.672581,1.132215,-0.820164,1.154207,0.235318,3.484381,-0.928602,-1.893277,-0.272795,1.971844
1.340421,1.523461,1.771853,1.056290,0.287296,1.807593,6.655980,1.871591,0.606936,5.692026,5.810162
-0.297098,-0.134807,0.533730,-0.112940,-0.030946,-0.318965,1.304093,-0.060279,0.006990,-0.011114,-0.664906
-0.756690,1.014062,1.083091,1.179655,2.110731,-0.922283,2.492584,1.277674,4.979871,2.520119,6.224542
1.561758,2.179765,1.500064,1.423464,0.075506,2.318060,6.061950,2.135287,0.214959,6.665051,8.390274
0.147987,1.367407,2.006356,0.041623,0.016264,1.473771,6.167054,0.083511,0.001354,3.563373,2.804165
0.998848,1.517894,1.621986,0.257066,1.227117,2.259676,5.864807,0.416957,0.630899,4.395794,6.547450
0.624499,1.734437,0.597023,0.968733,1.806672,1.390204,2.415568,0.578356,3.500365,3.924692,7.627055
0.900710,1.284980,0.703195,1.496790,3.497780,0.688900,3.010294,1.052535,10.470883,4.385674,11.998608
1.235252,0.708110,2.204247,0.850583,0.891848,1.092780,7.847993,1.874894,1.517181,4.998192,7.166971
1.055524,-0.098311,2.339087,1.384201,0.626706,-0.426989,8.072786,3.237768,1.734974,4.680501,6.772385
0.711364,1.130134,0.328339,0.101043,-0.632145,1.740454,1.696380,0.033176,-0.127748,2.270880,1.769647
0.220271,0.887470,0.974097,0.412335,0.793892,0.695407,3.142563,0.401654,0.654698,2.494173,4.462440
0.739400,1.325775,0.525530,0.200099,0.687583,1.865077,2.315990,0.105158,0.275169,2.790804,3.950918
1.213089,1.064373,0.464110,1.067396,0.995033,1.210067,2.605420,0.495389,2.124189,3.808969,4.883051
0.956263,0.807569,1.629189,0.221329,0.950244,1.542503,5.843829,0.360587,0.420633,3.614350,6.310964
2.026988,0.940385,0.434925,1.655550,0.592787,1.311823,3.331763,0.720040,1.962778,5.057848,6.928653
0.681561,1.902335,0.650729,0.892384,1.043034,1.691511,2.633749,0.580701,1.861574,4.127009,5.681631
1.974016,1.019105,2.202402,0.721107,0.634991,2.272014,8.581222,1.588167,0.915792,5.916630,6.929929
0.489127,1.895069,1.049405,1.195214,1.632944,1.188982,3.637343,1.254264,3.903436,4.628815,7.598428
1.376865,1.017978,0.793747,2.314008,1.166400,0.080835,3.758106,1.836737,5.398117,5.502598,6.460391
0.724525,0.643924,1.931143,1.783549,1.489253,-0.415100,6.517954,3.444289,5.312311,5.083142,8.520388
2.623941,-0.289154,-0.651370,1.520462,1.363982,0.814325,0.669832,-0.990383,4.147767,3.203880,4.961142
1.136056,1.584027,1.477752,1.918047,1.831941,0.802036,5.569311,2.834397,7.027498,6.115881,11.371296
0.958866,-0.467634,1.508300,0.911440,1.236015,-0.420208,5.483765,1.374724,2.253106,2.910971,5.167160
1.516700,0.926999,0.663656,0.960829,0.489499,1.482870,3.507669,0.637660,0.940650,4.068184,5.592204
0.933319,0.457203,0.519637,1.403063,1.912565,-0.012541,2.492229,0.729083,5.366898,3.313222,6.849107
0.861731,2.422220,0.986880,1.324121,1.432345,1.959830,3.822369,1.306748,3.793197,5.594952,8.397814
0.529255,-0.246434,0.128160,0.647127,1.687545,-0.364305,0.913736,0.082936,2.184111,1.058108,3.116772
2.315265,0.421335,0.761282,-0.229302,-0.434097,2.965901,4.599110,-0.174564,0.199079,3.268579,3.663914
1.087065,1.278166,0.890158,1.939711,1.850579,0.425520,3.757539,1.726650,7.179177,5.195100,9.405754
1.290028,0.677115,1.003183,1.602165,1.428095,0.364978,4.299577,1.607265,4.576088,4.572492,7.061811
1.580676,0.974563,0.927867,1.069828,0.058953,1.485411,4.364278,0.992659,0.126140,4.552934,5.187358
0.658379,0.187653,1.586244,1.964809,1.431496,-1.118777,5.417111,3.116667,5.625234,4.397085,7.122336
1.009045,0.695444,1.449095,1.073996,0.937000,0.630493,5.356329,1.556321,2.012667,4.227579,5.862295
0.933868,1.125940,0.613855,1.110261,1.721080,0.949547,2.775433,0.681539,3.821695,3.783924,7.872689
1.644024,1.084597,-0.026711,1.722847,0.770854,1.005774,1.563890,-0.046019,2.656127,4.424756,5.162302
0.867235,1.434522,-0.135297,0.299306,1.757526,2.002451,0.461344,-0.040495,1.052075,2.465766,7.778044
2.010130,0.959700,2.375053,2.083881,1.075139,0.885949,9.135290,4.949329,4.480925,7.428765,10.528363
0.716015,0.322974,1.915323,0.267789,1.631494,0.771201,6.461984,0.512902,0.873791,3.222101,5.605338
1.271183,-0.392256,0.565524,1.555604,2.276606,-0.676677,2.967757,0.879732,7.082994,3.000056,6.876931
1.306581,0.465271,0.083943,1.217785,1.560138,0.554067,1.558409,0.102224,3.799824,3.073579,6.220954
0.885946,-0.599950,1.515585,0.842900,-0.141579,-0.556904,5.432701,1.277487,-0.238675,2.644481,3.114112
0.541180,0.668881,0.582230,2.055389,0.757526,-0.845328,2.287871,1.196710,3.114021,3.847681,4.682137
1.682009,1.734111,0.615978,2.128002,0.460046,1.288118,3.529942,1.310802,1.957959,6.160099,6.108366
-0.011089,-0.123832,1.851747,2.232056,-0.063848,-2.366977,5.544152,4.133204,-0.285026,3.948882,5.094173
1.589725,-0.369712,1.472937,0.984480,0.454550,0.235532,6.008536,1.450078,0.894991,3.677430,3.794582
1.939776,-0.768775,1.143832,-0.017256,0.199772,1.188257,5.371273,-0.019738,-0.006894,2.297578,3.663825
0.481105,1.126104,0.465586,0.241540,1.214438,1.365670,1.877863,0.112458,0.586671,2.314336,3.693316
0.938924,2.040544,0.338408,0.080987,0.709920,2.898482,1.954149,0.027407,0.114988,3.398863,4.657015
1.221016,1.175822,1.916444,2.954988,0.410926,-0.558150,6.970347,5.663068,2.428565,7.268269,9.145812
1.879177,0.388917,1.100783,1.259698,0.657460,1.008396,5.181527,1.386654,1.656401,4.628575,6.198395
1.259775,1.113361,0.146787,1.700648,1.593898,0.672489,1.700135,0.249632,5.421318,4.220570,7.314793
0.825724,0.180465,1.739221,0.914628,0.309458,0.091560,6.043386,1.590740,0.566078,3.660037,4.674416
1.006206,1.503978,0.174414,0.085238,0.539286,2.424947,1.529448,0.014867,0.091935,2.769836,5.088121
0.277052,2.914943,1.618695,1.619712,1.547662,1.572282,5.133137,2.621820,5.013535,6.430401,9.934650
1.240912,1.019490,0.766373,2.007182,1.646848,0.253220,3.540032,1.538251,6.611049,5.033958,7.464173
1.714579,1.878786,1.194857,0.516489,-0.031352,3.076877,5.299151,0.617130,-0.032386,5.304712,5.370370
0.721965,1.621845,0.348847,1.393757,1.799328,0.950053,1.768505,0.486208,5.015652,4.086414,7.425176
0.857395,1.113242,1.757692,1.666227,2.534870,0.304410,6.130470,2.928714,8.447340,5.394556,11.328419
2.061647,0.563730,0.264945,1.182772,1.121299,1.442604,2.856483,0.313370,2.652482,4.073094,6.683001
-0.237575,2.078567,1.356314,0.765003,1.235519,1.075990,3.831368,1.037584,1.890351,3.962309,6.771462
1.194585,1.360762,2.336753,1.226205,0.333130,1.329142,8.204845,2.865338,0.816972,6.118306,6.751070
1.674894,-0.171985,1.674795,1.183423,-1.353346,0.319486,6.699278,1.981991,-3.203162,4.361127,3.043769
1.185935,2.279179,2.277069,0.602726,0.348559,2.862387,8.017140,1.372449,0.420171,6.344908,7.109091
1.646214,1.490409,1.526237,1.308785,1.570563,1.827838,6.224925,1.997516,4.111058,5.971644,9.339546
0.673311,0.532734,1.636840,0.871599,0.265896,0.334446,5.583832,1.426669,0.463509,3.714485,5.057339
1.527054,0.233966,1.036295,1.094584,1.399976,0.666436,4.635938,1.134311,3.064783,3.891899,8.050556
0.789829,1.601763,0.053858,1.890908,0.842056,0.500684,0.951404,0.101841,3.184500,4.336358,5.424276
0.558040,1.014373,1.210264,0.927533,1.256622,0.644880,4.188831,1.122560,2.331117,3.710210,4.531362
1.497131,1.557371,1.771064,0.842951,0.229861,2.211550,6.810321,1.492919,0.387524,5.668515,5.912279
1.364979,1.920263,-0.214177,1.521268,0.397965,1.763974,0.722449,-0.325820,1.210821,4.592333,5.078018
0.891913,2.044234,0.838061,-0.418594,0.746587,3.354741,3.406096,-0.350807,-0.625033,3.355614,4.737011
